question,answer
"Какие данные должны быть указаны в реестре перевозочных документов, оформляемых при перевозках товаров, порожнего железнодорожного подвижного состава или контейнеров железнодорожным транспортом?"," В реестре перевозочных документов должны быть указаны: номера перевозочных документов, даты реализации работ (услуг), стоимости работ (услуг), наименования или коды государств отправления, наименования или коды входных и выходных российских пограничных и (или) припортовых железнодорожных станций, а также даты проставления на перевозочном документе календарного штемпеля пограничной железнодорожной станции или календарного штемпеля станции назначения."
Какие телефоны доступны для бесплатной юридической консультации в Санкт-Петербурге и Ленинградской области?, Бесплатная юридическая консультация доступна по телефону 8 (812) 467-95-28 в Санкт-Петербурге и Ленинградской области.
"Какое решение принимается, если оспариваемый ненормативный правовой акт, решение и действия (бездействие) не соответствуют закону?"," Принимается решение об признании ненормативного правового акта недействительным, решений и действий (бездействия) незаконными."
"Какие действия выполняет суд кассационной инстанции при извещении лиц, участвующих в деле, о передаче кассационных жалобы, представления?"," Суд кассационной инстанции направляет лицам, участвующим в деле, копии постановления о передаче кассационных жалобы, представления вместе с уголовным или административным делом для рассмотрения в судебном заседании суда кассационной инстанции и копии кассационных жалобы, представления. Время рассмотрения кассационных жалобы, представления с уголовным или административным делом в судебном заседании суда кассационной инстанции назначается с учетом того, чтобы лица, участвующие в деле, имели возможность явиться на заседание. Неявка указанных лиц в судебное заседание суда кассационной инстанции не препятствует рассмотрению уголовного или административного дела по кассационным жалобе, представлению."
Какая степень осушки газа должна быть указана согласно ГОСТ МДС-80-8.2000?," В соответствии с ГОСТ МДС-80-8.2000 о степени осушки газа в документах не указано конкретно, но общая цель должна быть обеспечение допустимой чистоты и сухости газа для дальнейшего использования."
Какие министерства и ведомства утверждают ценники на технологическое оборудование предприятий легкой промышленности согласно ГОСТ МДС 81-8.2000?, Ценники на технологическое оборудование предприятий легкой промышленности утверждаются Министерством легкой промышленности.
Какие категории инвалидов могут заниматься игрой мяч через шнур согласно МДС 35-7.2000?, Инвалиды с ПОДА (ампутанты) могут заниматься игрой мяч через шнур согласно МДС 35-7.2000.
Какие характеристики точек подключения временных сетей указаны в ГОСТ МДС-80-8.2000?," По каждому виду подземных сетей указаны оси трассы, места подключений, изломы в профиле (если применимо). Не задано ничего о временных сетях."
Какие действия допускаются до вступления международных договоров в силу при перемещении товаров трубопроводным транспортом или по линиям электропередачи?," До вступления международных договоров в силу при перемещении товаров трубопроводным транспортом или по линиям электропередачи допускается использовать представляемые перевозчиком показания приборов учета товаров, перемещаемых трубопроводным транспортом или по линиям электропередачи, которые расположены на территории сопредельного государства."
Какие меры принимаются при нарушениях стыков плит коробов и шахт согласно ГОСТ МДС 13-18.2000?," При нарушениях стыков плит коробов и шахт следует крепить их участками или целиком. Такое крепление может быть осуществлено за счет установки каркаса из уголковой стали вдоль ребер коробов и поперечных планок через 0,7-1 м. Каркас крепят к чердачному перекрытию анкерами. При замене отдельных участков коробов можно использовать многопустотные гипсошлаковые плиты."
"Какие требования предъявляет ГОСТ МДС 17-13.2000 к протечкам кровельного покрытия (металлического, рулонного, безрулонного, мастичного, шиферного, черепичного)?"," ГОСТ МДС 17-13.2000 предъявляет требования к протечкам различных типов кровельного покрытия. Для металлического, рулонного и безрулонного покрытия необходимо устранить дефекты бетона или других материалов, нанести полимерцементный раствор и гидроизоляцию. Для шиферных кровель необходимо обеспечить надлежащее напускание плит, укрепить поврежденные места, а для черепичного покрытия - сменить трещинные плитки или выполнить другие соответствующие ремонтные работы. В случаях протечек внутренних водостоков также требуется их устранение. Если ответа нет — нет информации."
Какие проекты бюджетных смет предложены законодательными (представительными) органами?," По данным предоставленной статьи, проекты бюджетов предлагаются законодательными (представительными) органами государственной власти субъекта Российской Федерации и представительными органам муниципальных образований."
Какие нормативные правовые акты регулируют организацию и осуществление государственного строительного надзора?," Организация и осуществление государственного строительного надзора регулируются Федеральным законом от 31 июля 2020 года N 248-ФЗ ""О государственном контроле (надзоре) и муниципальном контроле в Российской Федерации""."
"Как исчисляются ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины в случае помещения товаров под таможенные процедуры?"," Ввозные таможенные пошлины, налоги, специальные, антидемпинговые, компенсационные пошлины исчисляются в соответствии со ставками, действующими на день регистрации декларации товаров под таможенную процедуру. Если требуется пересчет иностранной валюты в валюту государства-члена, то это происходит по курсу валют, действующему на указанный день.

Суммы этих пошлин подлежат уплате с процентами, как если бы в отношении указанных сумм была предоставлена отсрочка их уплаты со времени помещения товаров под таможенную процедуру до дня истечения сроков уплаты. Проценты начисляются и уплачиваются в соответствии со статьей 60 настоящего Кодекса."
Какие требования к согласованию проектной документации с надзорными органами указаны в ГОСТ МДС-80-8.2000?," В ГОСТе МДС-80-8.2000 указаны требования к согласованию проектной документации с надзорными органами:
1. Проекты застройки должны рассматриваться и утверждаться с учетом требований СНиП 1.02.01-85 ""Инструкция о составе, порядке разработки, согласования и утверждения проектно-сметной документации на строительство предприятий, зданий и сооружений"".
2. Градостроительная документация, не упомянутая в п. 13.10 (Генеральная схема расселения и другие), должна рассматриваться органами архитектуры и градостроительства субъектов Российской Федерации совместно с местными органами архитектуры и градостроительства на подведомственной им территории.
3. Порядок рассмотрения, согласования и утверждения градостроительной документации, разработанной на территорию субъектов Российской Федерации, устанавливается законодательством республик.
4. Градостроительная документация, включая генеральную схему расселения, природопользования и территориальной организации производительных сил Российской Федерации, региональные схемы расселения, территориальные схемы охраны природы и природопользования, схемы районной планировки административно-территориальных образований, в которых решаются вопросы федерального значения, генеральные планы городов с расчетной численностью населения 500 тысяч человек и более, курортных городов и городов-новостроек, а также исторических городов, наследие которых имеет общереспубликанскую ценность, рассматриваются до их утверждения Главным управлением государственной вневедомственной экспертизы при Госстрое Российской Федерации (Главгосэкспертизой России)."
"Что происходит, если поданное заявление не соответствует требованиям частей пятой и шестой статьи 318?"," Если поданное заявление не соответствует требованиям частей пятой и шестой статьи 318, то мировой судья выносит постановление о возвращению заявления лицу, его подавшему, в котором предлагает ему привести заявление в соответствие с указанными требованиями и устанавливает для этого срок. В случае неисполнения данного указания мировой судья отказывается в принятии заявления к своему производству и уведомляет об этом лицо, его подавшее."
Какие требования предъявляются к благоустройству и озеленению территории согласно ГОСТ МДС 11-7.2000?," По благоустройству и озеленению территории предъявляются требования, согласно пункту 2.7 ГОСТ МДС 11-7.2000. Это включает затраты на благоустройство отведенной под строительство территории (включая стоимость работ по вертикальной планировке и устройству проездов на территории жилой части микрорайонов или кварталов, а также работы по озеленению этой территории). В сельских населенных пунктах, в зоне застройки домами с приквартирными участками, дополнительно включаются затраты на указанные работы, выполняемые в пределах участка жилого дома (кроме озеленения)."
Какие данные о лесных декларациях должны быть представлены в системе?," Необходимы следующие данные о лесных декларациях для включения в единую государственную автоматизированную информационную систему учета древесины и сделок с ней: местоположение лесного участка, дата заключения договора или иного документа, срок действия этого договора, объем заготовки древесины в соответствии с этим договором или иным документом."
Что входит в обсуждение с работодателем вопросов о работе организации?," В обсуждении с работодателем могут обсуждаться вопросы по совершенствованию организации, планы социально-экономического развития организации, участие в разработке и принятии коллективных договоров, а также участие представителей работников в заседаниях коллегиального органа управления организации с правом совещательного голоса."
Сколько касок должно быть у строительно-монтажного треста согласно Приложению 6 к СНиП 3.01.03-84?, Количество касок для строительно-монтажного треста не указано в приложении 6 к СНиП 3.01.03-84.
На каком сайте можно найти комментарии к статьям Налогового кодекса РФ?, Информация доступна на сайтах https://nkodeksrf.ru/ и https://gkodeksrf.ru/.
Какие требования предъявляются к описанию видов работ в разделе ведомостей физических объемов работ согласно ГОСТ МДС-80-8.2000?," Согласно ГОСТ МДС-80-8.2000, в разделе ведомостей физических объемов работ должны быть описаны следующие виды работ:
1. Строительные;
2. Монтажные и пусконаладочные;
3. Инженерно-изыскательские и проектные;
4. Обеспечивающие работы (возвращение строительных площадок, уборка территории и т.п.);
5. Расходы на трудозатраты и материалы.
Описания должны содержать необходимые технические сведения о выполнении работ (материалы, инструмент, оборудование, технология), а также должны быть основанные на действующих технических нормативных документах."
"Какие действия предпринимаются, если уведомление не соответствует установленным параметрам?"," Если уведомление не соответствует установленным параметрам, то оно направляется застройщику с основаниями для направления и содержанием предельных параметров разрешенного строительства. В случае несоответствия внешнего облика объекта или дома, указаному в приложении к уведомлению о планируемом строительстве, направляется также и уведомление о несоответствии. Если постройка или реконструкция происходит в границах исторического поселения федерального или регионального значения, то также направляется уведомление о несоответствии архитектурным требованиям объектов капитального строительства, установленным градостроительным регламентом."
Что такое мошенничество при получении выплат согласно статье 159.2 УК РФ?," Мошенничество при получении выплат - это хищение денежных средств или иного имущества при получении пособий, компенсаций, субсидий и других социальных выплат путем представления заведомо ложных и (или) недостоверных сведений либо умолчания о фактах, влекущих прекращение указанных выплат. Наказание - штраф до ста двадцати тысяч рублей или в размере заработной платы или иного дохода осужденного за период до одного года, либо обязательные работами на срок до трехсот шестидесяти часов, либо исправительными работами на срок до одного года, либо ограничением свободы на срок до двух лет, либо принудительными работами на срок до двух лет, либо арестом на срок до четырех месяцев."
Как определяется плановое положение подземных сетей на застроенной территории согласно СНиП 3.01.03-84?," Плановое положение подземных сетей на застроенной территории определяется специальным заданием заказчика. Конкретные способы съемки точек сетей указаны в пункте 8.63 СНиП 3.01.03-84 (линейными засечками, перпендикулярами, полярным способом). Все линейные измерения производятся стальными лентами или рулетками. Точки сетей в траншеях выносятся на поверхность земли отвесом. В обязательном порядке производят контрольные измерения расстояний между точками сетей."
Как устанавливается порядок организации работ и распределение средств в ГОСТ МДС 11-11.2000?," В ГОСТе MDS 11-11.2000 указано, что порядок организации работ и распределение средств определяются на основе документации, разработанной по согласованию с заказчиком и генподрядчиком."
Какие виды ремонта должен выполнять отправитель плотов?," Отправитель плотов должен осуществлять текущий ремонт, профилактический ремонт, а также работы по устранению дефектов и недостатков."
Что означает знак 5.15.6?," Знак 5.15.6 означает конец участка средней полосы на трехполосной дороге, предназначенного для движения в данном направлении."
Как проводится закрепление грунтов способом газовой силикатизации?," Закрепление грунтов способом газовой силикатизации осуществляется путем загрузки грунта в трубку с послойным уплотнением,
а затем нагнетания в него сжатого углекислого газа и раствора силиката натрия. Грунт после закрепления извлекается и подвергается испытанию на прочность при сжатии и водоустойчивость."
"Какие меры принуждения могут быть применены к лицам, нарушающим порядок в судебном заседании?"," В случае нарушения порядка в судебном заседании могут быть применены следующие меры процессуального принуждения:
1) ограничение времени выступления участника судебного разбирательства или лишение его слова;
2) предупреждение;
3) удаление из зала судебного заседания на все время судебного заседания или его часть."
Какие обязанности могут быть незаконно возложены на заявителя?," Обязанности, которые могут быть незаконно возложены на заявителя, это обязанности, которые не соответствуют нормативному правовому акту или нарушают права, свободы и законные интересы граждан, организаций, иных лиц, создают препятствия к осуществлению их прав, свобод и реализации законных интересов или на них незаконно возложены какие-либо обязанности. (По материалам https://kodasrf.ru/)"
Какие данные необходимы для определения потребности в воде и газе для коммунально-бытовых и промышленных нужд согласно ГОСТ МДС 11-7.2000?," Для определения потребности в воде и газе для коммунально-бытовых и промышленных нужд по ГОСТу МДС 11-7.2000 необходимы следующие данные:

1. Суммарное потребление электроэнергии (на нужды промышленных предприятий и на коммунально-бытовые нужды)
2. Общее поступление сточных вод (всего и для бытовой канализации)
3. Потребление электроэнергии на 1 чел. в год (в том числе на коммунально-бытовые нужды)
4. Источники покрытия электронагрузок
5. Удельный вес газа в топливном балансе города, другого поселения
6. Потребление газа (всего и на коммунально-бытовые нужды)
7. Подача природного газа от источников"
Какие объекты проектирования указаны в таблице 4 согласно СНиП?," В таблице 4 приводится список плоскостных сооружений, включающих тропу здоровья, кроссовые трассы, площадки общефизической подготовки, полосы препятствий и декоративные питомники."
"Какие иные объекты, территории и зоны отображаются на картах?"," На картах могут быть представлены также:
1) особые экономические зоны;
2) особо охраняемые природные территории федерального, регионального, местного значения;
3) территории объектов культурного наследия;
4) зоны с особыми условиями использования территорий;
5) территории, подверженные риску возникновения чрезвычайных ситуаций природного и техногенного характера;
6) другие объекты, территории и зоны."
Какие права имеет юридическое лицо на доступ к материалам дела?," Юридическое лицо имеет право знакомиться с материалами дела, делать выписки из них, снимать копии, получать информацию о движении дела с использованием любых общедоступных средств связи."
Какой методический подход к оценке оферт установлен в ГОСТ МДС 80-3.2000?," В ГОСТе МДС 80-3.2000 установлен методический подход к оценке оферт, который может быть балльной, экономической или смешанной (балльно-экономической). При проведении торгов на строительство заданного объекта следует отдавать предпочтение экономической оценке."
"Что влечет нарушение порядка и (или) сроков передачи налогоплательщиками сведений о произведенных расчетах при реализации товаров (работ, услуг, имущественных прав)?"," Нарушение порядка и сроков передачи налогоплательщиками сведений о произведенных расчетах при реализации товаров (работ, услуг, имущественных прав) влечет взыскание штрафа в размере 20% от суммы такого расчета."
Какие средства должны быть в портах для защиты окружающей среды?," Средства, которые должны быть в портах для защиты окружающей среды:
1. Средства для приема и обработки хозяйственно-бытовых вод и нефтесодержащих отходов;
2. Особая инфраструктура внутренних водных путей для сбора и обработки сточных вод, включая очистные сооружения;
3. Средства и подразделения по охране окружающей среды, такие как служба пожарной безопасности и экологической охраны;
4. Система водоотведения (канализация);
5. Локальные очистные сооружения для очистки сточных вод, такие как фильтры и сети дренажа."
Какие работы необходимо провести для ревизии и ремонта насосов согласно МДС 13-18.2000?," Для ревизии и ремонта насосов следует проводить техническое обслуживание, проверку работы и устранение возникающих неисправностей в соответствии с их эксплуатационной документацией. Срок каждого вида работ определяется конкретно для каждого типа насоса."
Как устанавливается минимальный размер взноса на капитальный ремонт?," Минимальный размер взноса на капиталовый ремонт устанавливается нормативным правовым актом субъекта Российской Федерации, исходя из занимаемой общей площади помещения в многоквартирном доме, собственником которого является такой собственник, и может быть дифференцирован в зависимости от муниципального образования, в котором расположен многоквартирный дом."
Из каких источников формируются бюджетные ассигнования дорожного фонда субъекта Российской Федерации?," Бюджетные ассигнования дорожного фонда субъекта Российской Федерации формируются из доходов бюджета субъекта Российской Федерации от акцизов на автомобильный бензин, прямогонный бензин, дизельное топливо, моторные масла для дизельных и (или) карбюраторных (инжекторных) двигателей, производимые на территории Российской Федерации, подлежащих зачислению в бюджет субъекта Российской Федерации; доходов бюджета субъекта Российской Федерации от транспортного налога (за исключением доходов, установленных законом субъекта Российской Федерации в виде единых нормативов отчислений от транспортного налога в местные бюджеты); доходов бюджета субъекта Российской Федерации от денежных взысканий (штрафов) за нарушение законодательства Российской Федерации о безопасности дорожного движения; доходов бюджета субъекта Российской Федерации от иных поступлений в бюджет субъекта Российской Федерации, утвержденных законом субъекта Российской Федерации, предусматривающим создание дорожного фонда субъекта Российской Федерации; межбюджетных трансфертов из федерального бюджета бюджетам субъектов Российской Федерации."
Что подразумевается под возвращенным жертвователю денежным эквивалентом недвижимого имущества и ценных бумаг?," Возвращенный денежным эквивалентом означает сумму денег, которую жертвователь получает в качестве компенсации за возврат переданного ему недвижимого имущества или ценных бумаг, возвращенных после расформирования целевого капитала некоммерческой организации."
Какие обосновывающие документы требуются для расчета командировочных расходов согласно ГОСТ МДС 81-7.2000?," Для расчета командировочных расходов согласно ГОСТ МДС 81-7.2000 требуются нормативы на оплату затрат по социальным отпускам, а также нормативные списки документов о командировочных расходах и тарифы на транспортные услуги."
Как корректируются показатели затрат труда пусконаладочного персонала?," Показатели затрат труда пусконаладочного персонала не корректируются в связи с изменением квалификационного и количественного состава исполнителей на конкретном объекте. Однако, при составлении локальной ресурсной смет в текущем уровне цен (базисно-индексным методом), используются фактические данные по оплате труда рабочих из оперативного внутрихозяйственного бухгалтерского учета."
Какова процедура назначения членов предварительной квалификационной комиссии согласно ГОСТ МДС 80-5.2000?," Процедура назначения членов предварительной квалификационной комиссии определяется тендерным комитетом, который имеет право назначать членов комиссии из представителей заказчика (инвестора), организаторов торгов, экспертов и других специалистов."
Какие требования предъявляются к работе стеклоочистителей?," На транспортных средствах должны работать стеклоочистители в установленном режиме. При отсутствии стеклоомывателей, должны быть предусмотрены конструкцией транспортного средства."
Какие ГОСТы или СНиПы определяют составление сметной документации в текущих ценах?," Гост (ГОСТ) или СНиП, которые определяют составление сметной документации в текущих ценах, не приведены в указанных Методических рекомендациях. Однако, в этих рекомендациях предполагается использование текущих цен на ресурсы и регистрацию уровня цен на ресурсы в соответствии с ""Методическими рекомендациями по регистрации цен в строительстве и представлении отчетов об итогах регистрации"", разработанными ЦНИИЭУСа Госстроя России."
Что происходит в случае нарушения требований к инвестиционному соглашению?," В случае нарушения требований к инвестиционному соглашению, инвестиционная надбавка для нефтеперерабатывающих заводов может быть определена равной нулю в течение всего срока ее действия начиная с первого налогового периода ее применения налогоплательщиком. Сумма налога в части вычетов, приходящихся на инвестиционную надбавку для нефтеперерабатывающих заводов, подлежит восстановлению и уплате в бюджет в установленном порядке с уплатой соответствующих сумм пеней, начисляемых со дня, следующего за установленным статьей 204 настоящего Кодекса днем уплаты налога. Организация, владеющая на праве собственности нефтеперерабатывающим заводом, указанным в таком инвестиционном соглашении, несет солидарную ответственность за исполнение обязанности, установленной настоящим абзацем. Если нарушение связано с информацией, содержащейся в инвестиционном соглашении или неисполнением инвестиционного соглашения, то налогоплательщик может быть лишен инвестиционной надбавки."
Какая форма используется для предоставления информации о выплатах из средств компенсационного фонда?," Формой, используемой для предоставления информации о выплатах из средств компенсационного фонда, является та, установленная Банком России."
Какова сметная стоимость стекла матового полированного витринного по ГОСТ МДС 81-10.2000?," По данным документации MDS 81-10.2000, для определения стоимости стекла матового полированного витринного надо использовать показатели по отдельным видам работ (ПВР). Учитываются затраты на природные ресурсы, оборудование и трудоемкость. Стоимость вычисляется по формуле: стоимость = индекс стоимости по отдельным видам работ (индекс) x базовые сметные нормы (сметная норма). Однако конкретная цена не указана в документации. Для получения точной стоимости стоит использовать региональную цену на стекло матовое полированное витринное и применить формулу для расчета сметной стоимости, используя базовую сметную норму из документации."
Какие документы подтверждают полномочия ответственного участника?," Документы, подтверждающие полномочия ответственного участника консолидированной группы налогоплательщиков - это нотариально удостоверённая доверенность, приравненная к ней в соответствии с гражданским законодательством, или доверенность в форме электронного документа, подписанный электронной подписью доверителя."
"Какие штрафы предусмотрены для должностных лиц за нарушения, предусмотренные частью 1 статьи 6.34?"," Штрафы для должностных лиц за нарушения, предусмотренные частью 1 статьи 6.34, составляют от пятидесяти тысяч до ста тысяч рублей."
