question,answer,sources
Какие требования предъявляются к монтажу оборудования и подводящим коммуникациям согласно ГОСТ (к СНиП 3.02.01-83)?,нет в документах,"Data1_10_10754_index.pdf:page_2, Data1_10_10861_index.pdf:page_25, Data1_10_10865_index.pdf:page_30, Data1_2_2073_index.pdf:page_1, Data1_2_2073_index.pdf:page_2"
Какие работы не включены в состав пусконаладочных работ согласно ГОСТу МДС 81-8.2000?,"Согласно МДС 81-8.2000 в состав пусконаладочных работ **не включены**:

- **различного вида испытания**, которые согласно техническим условиям на изготовление и поставку оборудования должны производиться **на стадии его изготовления или монтажа**;
- **ревизия**, **ремонт оборудования**, **замена узлов и механизмов** и другие работы, вызванные **низким качеством оборудования**, **неправильным или длительным его хранением**, **дефектами монтажа**.","Data1_10_10754_index.pdf:page_1, Data1_10_10848_index.pdf:page_7, Data1_10_10864_index.pdf:page_1, Data1_10_10864_index.pdf:page_32, Data1_10_10865_index.pdf:page_1"
Какие данные должны быть указаны в итоговой строке формы протокола согласования затрат российских организаций в смешанных ценах согласно ГОСТу МДС 81-21.2000?,нет в документах,"Data1_2_2069_index.pdf:page_23, Data1_2_2069_index.pdf:page_7, Data1_2_2073_index.pdf:page_1, Data1_2_2082_index.pdf:page_7, Data1_2_2116_index.pdf:page_1"
Как указывается наименование и количество единиц измерения мощности объекта в Форме № 3-в согласно ГОСТ?,нет в документах,"Data1_10_10754_index.pdf:page_23, Data1_10_10865_index.pdf:page_24, Data1_2_2076_index.pdf:page_15, Data1_2_2079_index.pdf:page_18, Data1_2_2082_index.pdf:page_17"
В каких случаях оспаривание займа по безденежности не допускается?,нет в документах,"Гражданский кодекс Российской Федерации.pdf:page_234, Гражданский кодекс Российской Федерации.pdf:page_338, Кодекс административного судопроизводства Российской Федерации.pdf:page_111, Кодекс административного судопроизводства Российской Федерации.pdf:page_113, Кодекс административного судопроизводства Российской Федерации.pdf:page_117"
"Как определяется размер возмещения при приведении параметров зданий, сооружений в соответствие с установленными требованиями?","Размер возмещения при приведении параметров зданий, сооружений в соответствие с установленными требованиями определяется в порядке, установленном главой, в которой предусмотрены убытки (в том числе в связи с необходимостью сноса и/или приведения параметров в соответствие), включая определение состава и размера таких убытков **с указанием сроков** сноса/приведения в соответствие.  

При этом в представленном фрагменте конкретный способ расчёта (формула/методика) не раскрыт.","Градостроительный кодекс Российской Федерации.pdf:page_258, Гражданский кодекс Российской Федерации.pdf:page_131, Земельный кодекс Российской Федерации.pdf:page_156, Земельный кодекс Российской Федерации.pdf:page_157, Земельный кодекс Российской Федерации.pdf:page_195"
"Какой штраф предусмотрен за допуск к управлению транспортным средством водителя, не имеющего российского национального водительского удостоверения?",нет в документах,"Административный кодекс Российской Федерации.pdf:page_166, Административный кодекс Российской Федерации.pdf:page_177, Административный кодекс Российской Федерации.pdf:page_178, Административный кодекс Российской Федерации.pdf:page_190, Административный кодекс Российской Федерации.pdf:page_197"
Какие методы используются для уполаживания берегов водных объектов?,нет в документах,"Водный кодекс Российской Федерации.pdf:page_1, Водный кодекс Российской Федерации.pdf:page_32, Водный кодекс Российской Федерации.pdf:page_35, Водный кодекс Российской Федерации.pdf:page_41, Кодекс внутреннего водного транспорта Российской Федерации.pdf:page_10"
Какова производительность установки осушки природного газа (однопоточная) согласно ГОСТу МДС 81-8.2000?,нет в документах,"Data1_10_10754_index.pdf:page_18, Data1_10_10864_index.pdf:page_1, Data1_10_10864_index.pdf:page_37, Data1_2_2096_index.pdf:page_2, Налоговый кодекс Российской Федерации.pdf:page_1418"
Какие долговые обязательства субъекта Российской Федерации могут быть среднесрочными?,нет в документах,"Бюджетный кодекс Российской Федерации.pdf:page_143, Бюджетный кодекс Российской Федерации.pdf:page_145, Бюджетный кодекс Российской Федерации.pdf:page_146, Бюджетный кодекс Российской Федерации.pdf:page_162, Бюджетный кодекс Российской Федерации.pdf:page_270"
Когда начинается рассмотрение евразийской заявки на изобретение?,нет в документах,"Гражданский кодекс Российской Федерации.pdf:page_584, Гражданский кодекс Российской Федерации.pdf:page_585, Гражданский кодекс Российской Федерации.pdf:page_590, Гражданский кодекс Российской Федерации.pdf:page_593, Гражданский кодекс Российской Федерации.pdf:page_598"
Какие регионы относятся к районам Крайнего Севера в Мурманской области?,нет в документах,"Data1_10_10062_index.pdf:page_10, Data1_10_10062_index.pdf:page_8, Data1_10_10062_index.pdf:page_9, Трудовой кодекс Российской Федерации.pdf:page_179, Трудовой кодекс Российской Федерации.pdf:page_221"
Что запрещено водителю после ДТП?,"Водителю запрещается:
- управлять транспортным средством в состоянии опьянения (алкогольного, наркотического или иного), под воздействием лекарственных препаратов, ухудшающих реакцию и внимание, в болезненном или утомленном состоянии, ставящем под угрозу безопасность движения;
- передавать управление транспортным средством лицам, находящимся в состоянии опьянения, под воздействием лекарственных препаратов, в болезненном или утомленном состоянии.","Административный кодекс Российской Федерации.pdf:page_194, ПДД Российской Федерации.pdf:page_10, ПДД Российской Федерации.pdf:page_18, ПДД Российской Федерации.pdf:page_19, ПДД Российской Федерации.pdf:page_26"
Какое решение может быть принято по результатам рассмотрения материалов проверки?,"По результатам рассмотрения жалобы (апелляционной жалобы) на решение, вынесенное в порядке, предусмотренном статьей 101 настоящего Кодекса, вышестоящий налоговый орган вправе отменить такое решение при нарушении существенных условий процедуры рассмотрения материалов налоговой проверки.","Налоговый кодекс Российской Федерации.pdf:page_255, Налоговый кодекс Российской Федерации.pdf:page_265, Налоговый кодекс Российской Федерации.pdf:page_378, Налоговый кодекс Российской Федерации.pdf:page_706, Налоговый кодекс Российской Федерации.pdf:page_712"
Какие ГОСТы или СНиПы регламентируют применение вычислительной техники при составлении сметной документации?,нет в документах,"Data1_2_2069_index.pdf:page_11, Data1_2_2073_index.pdf:page_2, Data1_2_2076_index.pdf:page_1, Data1_2_2079_index.pdf:page_1, Data1_2_2079_index.pdf:page_8"
В каких случаях суд может взыскать алименты в твердой денежной сумме?,"Суд может взыскать алименты в твердой денежной сумме в случае, когда **нет соглашения об уплате алиментов** на **нетрудоспособных совершеннолетних детей, нуждающихся в помощи** (статья 85 СК РФ).","Семейный кодекс Российской Федерации.pdf:page_24, Семейный кодекс Российской Федерации.pdf:page_25, Семейный кодекс Российской Федерации.pdf:page_28, Семейный кодекс Российской Федерации.pdf:page_31, Семейный кодекс Российской Федерации.pdf:page_33"
Какие объекты проектирования указаны в главе 4 согласно СНиП?,нет в документах,"Data1_11_11285_index.pdf:page_76, Data1_2_2069_index.pdf:page_11, Data1_2_2082_index.pdf:page_5, Градостроительный кодекс Российской Федерации.pdf:page_71, Градостроительный кодекс Российской Федерации.pdf:page_72"
Кто составляет проекты бюджетов государственных внебюджетных фондов Российской Федерации?,Проекты бюджетов государственных внебюджетных фондов Российской Федерации составляются органами управления указанных фондов на очередной финансовый год и плановый период.,"Бюджетный кодекс Российской Федерации.pdf:page_236, Бюджетный кодекс Российской Федерации.pdf:page_237, Бюджетный кодекс Российской Федерации.pdf:page_241, Бюджетный кодекс Российской Федерации.pdf:page_242, Бюджетный кодекс Российской Федерации.pdf:page_277"
Какие работы включает в себя возобновление защитного слоя в железобетонных конструкциях каналов и камер согласно ГОСТ МДС 14-13.2000?,"Возобновление защитного слоя в железобетонных конструкциях каналов и камер включает работы **по возобновлению защитного слоя** в этих конструкциях.  

Других конкретных видов работ в приведённом контексте не указано.","Data1_1_1879_index.pdf:page_1, Data1_1_1879_index.pdf:page_18, Data1_1_1879_index.pdf:page_21, Data1_1_1879_index.pdf:page_29, Data1_1_1879_index.pdf:page_30"
Какие телефоны доступны для бесплатной юридической консультации в Москве и Московской области?,8 (499) 938-53-71 (Москва и МО),"Административный кодекс Российской Федерации.pdf:page_374, Административный кодекс Российской Федерации.pdf:page_415, Административный кодекс Российской Федерации.pdf:page_417, Административный кодекс Российской Федерации.pdf:page_67, Градостроительный кодекс Российской Федерации.pdf:page_291"
На каком сайте можно найти комментарии к статьям?,"Комментарии к статьям можно найти на сайтах:  
https://gkodeksrf.ru/ и https://upkodeksrf.ru/","Гражданский кодекс Российской Федерации.pdf:page_520, Гражданский кодекс Российской Федерации.pdf:page_563, Гражданский кодекс Российской Федерации.pdf:page_591, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_124, Уголовно-процессуальный кодекс Российской Федерации.pdf:page_222"
Какие требования к устойчивости фонарей к воздействию радиационных факторов предъявляет ГОСТ МДС 31-8.2002?,нет в документах,"Data1_10_10846_index.pdf:page_1, Data1_10_10846_index.pdf:page_16, Data1_10_10846_index.pdf:page_19, Data1_10_10846_index.pdf:page_2, Data1_10_10846_index.pdf:page_20"
Какие требования предъявляются к растворам-крепителям при силикатизации и смолизации грунтов согласно ГОСТ (к СНиП 3.02.01-83)?,"Согласно приведённому разделу 2.17, **при смолизации в качестве крепителей** применяемые **растворы карбамидных смол** по своим **физическим и химическим характеристикам** должны удовлетворять **нормам табл. 7**.

Также указано, что **щавелевая (кристаллогидрат)** и **техническая соляная (жидкость)** кислоты при применении должны удовлетворять нормам: соответственно **ТУ 221180-76** и **ТУ 857-78**.

Про требования к растворам-крепителям **именно при силикатизации** (по ГОСТ/к СНиП 3.02.01-83) **в представленном контексте не указано**.","Data1_11_11295_index.pdf:page_1, Data1_11_11295_index.pdf:page_12, Data1_11_11295_index.pdf:page_23, Data1_11_11295_index.pdf:page_6, Data1_11_11295_index.pdf:page_8"
"Какие основные задачи Государственной жилищной инспекции по контролю за использованием, содержанием и ремонтом жилищного фонда приведены в МДС 17-13.2000?","В контексте приведено: **основной задачей Государственной жилищной инспекции** является **осуществление контроля за использованием, содержанием, ремонтом жилищного фонда, придомовых территорий, объектов коммунального назначения независимо от его принадлежности и форм собственности** в части **обеспечения защиты прав и законных интересов граждан и государства**. Также указано, что Инспекция выполняет **обследование технического состояния жилищного фонда, его инженерного оборудования, придомовой территории** и осуществляет **контроль за использованием и сохранностью жилищного фонда и придомовых те…** (фраза обрывается в контексте).","Data1_10_10852_index.pdf:page_1, Data1_10_10861_index.pdf:page_1, Data1_10_10861_index.pdf:page_2, Data1_10_10861_index.pdf:page_3, Жилищный кодекс Российской Федерации.pdf:page_13"
Что такое единая методология бюджетного учета и бюджетной отчетности?,Единая методология бюджетного учета и бюджетной отчетности устанавливается **Министерством финансов Российской Федерации** в соответствии с положениями настоящего Кодекса.,"Бюджетный кодекс Российской Федерации.pdf:page_255, Бюджетный кодекс Российской Федерации.pdf:page_27, Бюджетный кодекс Российской Федерации.pdf:page_378, Бюджетный кодекс Российской Федерации.pdf:page_379, Бюджетный кодекс Российской Федерации.pdf:page_381"
Кто выполняет распоряжения диспетчерских органов о отключении электрической энергии?,нет в документах,"Data1_10_10853_index.pdf:page_3, Data1_10_10870_index.pdf:page_8, Data1_10_10871_index.pdf:page_13, Градостроительный кодекс Российской Федерации.pdf:page_17, Таможенный кодекс Евразийского экономического союза.pdf:page_361"
"Какие преимущества имеют средства индивидуализации, исключительное право на которые возникло ранее?","В документах указано, что если различные средства индивидуализации оказываются в степени смешения с фирменным наименованием, товарным знаком или защищенным исключительным правом коммерческим обозначением, принадлежащим другому лицу, у которого соответствующее исключительное право возникло ранее, то такое более раннее исключительное право имеет преимущество.","Гражданский кодекс Российской Федерации.pdf:page_493, Гражданский кодекс Российской Федерации.pdf:page_494, Гражданский кодекс Российской Федерации.pdf:page_515, Гражданский кодекс Российской Федерации.pdf:page_624, Гражданский кодекс Российской Федерации.pdf:page_661"
В каких случаях государственная пошлина не уплачивается при пересылке свидетельств и документов в соответствии с международными договорами?,нет в документах,"Налоговый кодекс Российской Федерации.pdf:page_1268, Налоговый кодекс Российской Федерации.pdf:page_1304, Таможенный кодекс Евразийского экономического союза.pdf:page_323, Таможенный кодекс Евразийского экономического союза.pdf:page_353, Таможенный кодекс Евразийского экономического союза.pdf:page_62"
Как вносятся сведения о характеристиках древесины в государственный лесной реестр?,"В документах указано, что:

- **Внесение документированной информации в государственный лесной реестр и ее изменение** осуществляются **на основании документов** (перечень, формы и порядок подготовки которых устанавливаются уполномоченным федеральным органом исполнительной власти).  

Других конкретных правил внесения сведений именно о **характеристиках древесины** в предоставленном фрагменте нет.","Лесной кодекс Российской Федерации.pdf:page_26, Лесной кодекс Российской Федерации.pdf:page_27, Лесной кодекс Российской Федерации.pdf:page_29, Лесной кодекс Российской Федерации.pdf:page_55, Лесной кодекс Российской Федерации.pdf:page_86"
Какие работы выполняются с повышенными требованиями к качеству и классу точности?,нет в документах,"Data1_10_10754_index.pdf:page_2, Data1_11_11285_index.pdf:page_4, Data1_11_11285_index.pdf:page_73, Data1_11_11295_index.pdf:page_25, Data1_11_11295_index.pdf:page_26"
Какие положения МДС 81-3.99 следует учитывать при определении стоимости затрат на эксплуатацию строительных машин и механизмов?,"Из приведённого контекста следует учитывать следующие положения (относящиеся к определению **затрат на эксплуатацию строительных машин и автотранспортных средств**):

- **Затраты на эксплуатацию отечественных строительных машин и автотранспортных средств** (в том числе **оплату труда рабочих, обслуживающих машины**) принимаются **по Федеральному сборнику сметных норм и расценок на эксплуатацию строительных машин и автотранспортных средств** с учетом **внесенных дополнений и изменений**.  
- **Затраты на эксплуатацию машин** учитывают **оплату труда рабочих, обслуживающих машины**, с **районным коэффициентом, равным 1**.  
- Эти затраты **рассчитаны по 10-разрядной сетке**, где **оплата труда рабочего со средним тарифным разрядом 4,3** принята **1760 руб.** (как приведено в таблице 2).  
- **Размер средств на оплату труда рабочих, управляющих строительными машинами**, в расценках рассчитан на основании **показателей времени эксплуатации машин** и **размера часовой оплаты труда машинистов**.","Data1_10_10754_index.pdf:page_3, Data1_10_10848_index.pdf:page_5, Data1_10_10848_index.pdf:page_7, Data1_2_2079_index.pdf:page_1, Data1_2_2080_index.pdf:page_6"
Что включает техническая приемка перед монтажом конструкций фонарей согласно ГОСТ МДС 31-8.2002?,"В документе указано: «Перед монтажом конструкций фонарей производителем работ должна быть произведена техническая приемка отдельных их элементов и выполнены подготовительные работы. Техническая приемка вклю…» — однако дальнейший перечень не приведён в предоставленном фрагменте.

**Ответ:** техническая приемка отдельных элементов фонарей и выполнение подготовительных работ (дальнейшее содержание технической приемки в фрагменте отсутствует).","Data1_10_10754_index.pdf:page_1, Data1_10_10846_index.pdf:page_1, Data1_10_10846_index.pdf:page_18, Data1_10_10846_index.pdf:page_19, Data1_10_10846_index.pdf:page_20"
Какие документы регулируют оптовые цены на оборудование?,нет в документах,"Data1_2_2069_index.pdf:page_5, Data1_2_2082_index.pdf:page_18, Data1_2_2082_index.pdf:page_4, Data1_2_2082_index.pdf:page_7, Налоговый кодекс Российской Федерации.pdf:page_1431"
Какие виды грантов не подлежат налогообложению?,"Не подлежат налогообложению суммы, получаемые налогоплательщиками в виде грантов (безвозмездной помощи), предоставленных для поддержки науки и образования, культуры и искусства в Российской Федерации международными, иностранными и (или) российскими организациями по перечням таких организаций, утверждаемым Правительством Российской Федерации.","Налоговый кодекс Российской Федерации.pdf:page_800, Налоговый кодекс Российской Федерации.pdf:page_803, Налоговый кодекс Российской Федерации.pdf:page_807, Налоговый кодекс Российской Федерации.pdf:page_825, Налоговый кодекс Российской Федерации.pdf:page_897"
Является ли ассоциация (союз) собственником своего имущества?,нет в документах,"Гражданский кодекс Российской Федерации.pdf:page_66, Гражданский кодекс Российской Федерации.pdf:page_67, Гражданский кодекс Российской Федерации.pdf:page_69, Гражданский кодекс Российской Федерации.pdf:page_70, Жилищный кодекс Российской Федерации.pdf:page_107"
Какие единицы измерения рекомендуются для разработки УПБС согласно ГОСТу?,нет в документах,"Data1_2_2079_index.pdf:page_2, Data1_2_2079_index.pdf:page_3, Data1_2_2080_index.pdf:page_7, Data1_2_2081_index.pdf:page_2, Data1_2_2081_index.pdf:page_3"
Что такое постоянное местонахождение иностранной организации?,нет в документах,"Налоговый кодекс Российской Федерации.pdf:page_1169, Налоговый кодекс Российской Федерации.pdf:page_1170, Налоговый кодекс Российской Федерации.pdf:page_1172, Налоговый кодекс Российской Федерации.pdf:page_1179, Налоговый кодекс Российской Федерации.pdf:page_903"
"Что влечет наложение административного штрафа на должностных лиц за нарушение правил эксплуатации, неиспользование сооружений, оборудования или аппаратуры для очистки газов и контроля выбросов вредных веществ в атмосферный воздух?",нет в документах,"Административный кодекс Российской Федерации.pdf:page_121, Административный кодекс Российской Федерации.pdf:page_122, Административный кодекс Российской Федерации.pdf:page_125, Административный кодекс Российской Федерации.pdf:page_160, Административный кодекс Российской Федерации.pdf:page_71"
"Что такое мониторинг, основанный на добровольном участии контролируемых лиц?",нет в документах,"Кодекс внутреннего водного транспорта Российской Федерации.pdf:page_5, Налоговый кодекс Российской Федерации.pdf:page_200, Налоговый кодекс Российской Федерации.pdf:page_380, Налоговый кодекс Российской Федерации.pdf:page_76, Налоговый кодекс Российской Федерации.pdf:page_80"
При каких условиях выгодоприобретатель принимает обязательства по договору морского страхования?,нет в документах,"Гражданский кодекс Российской Федерации.pdf:page_389, Гражданский кодекс Российской Федерации.pdf:page_394, Кодекс торгового мореплавания Российской Федерации.pdf:page_84, Кодекс торгового мореплавания Российской Федерации.pdf:page_86, Кодекс торгового мореплавания Российской Федерации.pdf:page_87"
Какое наименование должно быть присвоено выпуску проектной документации?,нет в документах,"Data1_10_10849_index.pdf:page_10, Data1_10_10849_index.pdf:page_16, Data1_10_10849_index.pdf:page_17, Data1_10_10849_index.pdf:page_18, Градостроительный кодекс Российской Федерации.pdf:page_137"
Как определяется геометрический КЕО в расчетной точке по ГОСТ МДС 31-8.2002?,"Геометрический КЕО в расчетной точке определяется по следующей последовательности:

1) График I накладывают на поперечный разрез помещения, центр графика «0» совмещают с расчетной точкой, а нижнюю линию графика — со следом рабочей поверхности.  
2) Подсчитывают количество лучей **n1**, попадающих в расчетную точку через световые проемы.  
3) Отмечают номер полуокружности графика I, которая проходит через середину светового проема.  
4) График II накладывают на продольный разрез помещения, при этом его вертикальная ось и горизонталь, номер которой соответствует номеру полуокружности по графику I, проходят через середину светового проема.  
5) Подсчитывают количество лучей **n2** по графику II, проходящих через световые проемы.  
6) Определяют **eв** по формуле (1).","Data1_10_10846_index.pdf:page_1, Data1_10_10846_index.pdf:page_12, Data1_10_10846_index.pdf:page_15, Data1_10_10846_index.pdf:page_34, Data1_10_10848_index.pdf:page_1"
Препятствует ли прекращение производства обращению других лиц?,нет в документах,"Арбитражный процессуальный кодекс Российской Федерации.pdf:page_131, Арбитражный процессуальный кодекс Российской Федерации.pdf:page_185, Гражданский процессуальный кодекс Российской Федерации.pdf:page_123, Кодекс административного судопроизводства Российской Федерации.pdf:page_113, Кодекс административного судопроизводства Российской Федерации.pdf:page_72"
"В каких случаях судебные расходы, понесенные судом, взыскиваются с административного ответчика?","Согласно представленному фрагменту, про случаи взыскания судебных расходов с **административного ответчика** не сказано — указаны только случаи взыскания с **административного истца** (например, при отказе в иске).

**Ответ: нет в документах.**","Арбитражный процессуальный кодекс Российской Федерации.pdf:page_52, Гражданский процессуальный кодекс Российской Федерации.pdf:page_39, Гражданский процессуальный кодекс Российской Федерации.pdf:page_40, Кодекс административного судопроизводства Российской Федерации.pdf:page_60, Кодекс административного судопроизводства Российской Федерации.pdf:page_61"
Какова цель документа МДС 41-3.2000?,"Цель документа МДС 41-3.2000 — оказать методическую помощь энергоснабжающим (теплоснабжающим) организациям системы жилищно-коммунального хозяйства, осуществляющим производство и (или) распределение тепловой энергии и эксплуатирующим источники тепла и (или) осуществляющим пользование системами коммунального теплоснабжения в городах и других населенных пунктах Российской Федерации.","Data1_10_10864_index.pdf:page_1, Data1_10_10870_index.pdf:page_1, Data1_10_10871_index.pdf:page_1, Data1_1_1879_index.pdf:page_1, Data1_1_1904_index.pdf:page_1"
"Как определяется рыночная стоимость земельного участка, если разрешенное использование изменено для строительства объектов федерального значения?",нет в документах,"Земельный кодекс Российской Федерации.pdf:page_143, Земельный кодекс Российской Федерации.pdf:page_144, Земельный кодекс Российской Федерации.pdf:page_145, Земельный кодекс Российской Федерации.pdf:page_157, Налоговый кодекс Российской Федерации.pdf:page_1592"
На каком сайте можно найти комментарии к статьям Налогового кодекса РФ?,"Комментарии к статьям Налогового кодекса РФ можно найти на сайтах:

- https://nkodeksrf.ru/  
- https://gkodeksrf.ru/","Гражданский кодекс Российской Федерации.pdf:page_463, Налоговый кодекс Российской Федерации.pdf:page_1053, Налоговый кодекс Российской Федерации.pdf:page_1172, Налоговый кодекс Российской Федерации.pdf:page_2, Налоговый кодекс Российской Федерации.pdf:page_92"
"Как можно снизить вязкость растворов силиката при радиусах закрепления 0,7 м и более (ГОСТ 3.02.01-83)?",нет в документах,"Data1_11_11295_index.pdf:page_12, Data1_11_11295_index.pdf:page_14, Data1_11_11295_index.pdf:page_5, Data1_11_11295_index.pdf:page_6, Data1_11_11295_index.pdf:page_8"
Какие дополнительные выплаты стимулирующего характера учитываются в расчетах согласно ГОСТ МДС 81-7.2000?,нет в документах,"Data1_10_10754_index.pdf:page_14, Data1_10_10754_index.pdf:page_18, Data1_2_2070_index.pdf:page_1, Data1_2_2073_index.pdf:page_1, Data1_2_2116_index.pdf:page_1"
Какие данные о гранулометрическом составе грунтов необходимы для проектирования инъекционного химзакрепления согласно СНиП 3.02.01-83?,нет в документах,"Data1_11_11295_index.pdf:page_1, Data1_11_11295_index.pdf:page_10, Data1_11_11295_index.pdf:page_11, Data1_11_11295_index.pdf:page_27, Data1_11_11295_index.pdf:page_9"
Какая средняя температура за июль в Печоре согласно ГОСТ МДС 31-8.2002?,нет в документах,"Data1_10_10846_index.pdf:page_1, Data1_10_10846_index.pdf:page_24, Data1_10_10846_index.pdf:page_25, Data1_10_10846_index.pdf:page_26, Налоговый кодекс Российской Федерации.pdf:page_685"
Какая специальная информационная дорожка должна предусматриваться в зале для специальной физической подготовки инвалидов согласно ГОСТ МДС 35-7.2000?,"В документах указано, что в зале предусмотрена **специальная информационная дорожка для инвалидов с ДЗ**.","Data1_10_10847_index.pdf:page_1, Data1_10_10847_index.pdf:page_23, Data1_10_10847_index.pdf:page_27, Data1_10_10847_index.pdf:page_28, Data1_10_10847_index.pdf:page_5"
"Какова важность правильного реагирования на запросы заказчиков, согласно ГОСТ МДС 11-11.2000?",нет в документах,"Data1_10_10858_index.pdf:page_1, Data1_10_10859_index.pdf:page_1, Data1_10_10863_index.pdf:page_1, Data1_1_1904_index.pdf:page_1, Data1_2_2116_index.pdf:page_1"
Какова роль канатного моста (элемент 3) в проекте площадки с зоной водных игр согласно ГОСТ МДС 35-7.2000?,нет в документах,"Data1_10_10847_index.pdf:page_1, Data1_10_10847_index.pdf:page_17, Data1_10_10847_index.pdf:page_23, Data1_10_10852_index.pdf:page_1, Data1_1_1879_index.pdf:page_31"
"Какова ответственность за нарушение правил использования на территории Российской Федерации спутниковых сетей связи, находящихся под юрисдикцией иностранных государств, для должностных лиц?","в документах указана только ответственность для должностных лиц по другой статье (в контексте штрафов за деяние, предусмотренное частью 5), без указания, что речь именно о нарушении правил использования на территории Российской Федерации спутниковых сетей связи, находящихся под юрисдикцией иностранных государств.  

Поэтому: **нет в документах**.","Административный кодекс Российской Федерации.pdf:page_230, Административный кодекс Российской Федерации.pdf:page_236, Административный кодекс Российской Федерации.pdf:page_244, Административный кодекс Российской Федерации.pdf:page_371, Уголовный кодекс Российской Федерации.pdf:page_217"
Как определяется базовая цена проектирования объединенных или сблокированных зданий научно-исследовательских учреждений согласно СНиП?,нет в документах,"Data1_11_11835_index.pdf:page_12, Data1_11_11835_index.pdf:page_3, Data1_11_11835_index.pdf:page_4, Data1_2_2080_index.pdf:page_1, Data1_2_2081_index.pdf:page_1"
"Какие статьи КоАП рассматривают судьи, если дело возбуждено инспектором Счетной палаты Российской Федерации, согласно пункту 1.1 статьи 23.1?",нет в документах,"Административный кодекс Российской Федерации.pdf:page_466, Административный кодекс Российской Федерации.pdf:page_468, Административный кодекс Российской Федерации.pdf:page_480, Административный кодекс Российской Федерации.pdf:page_492, Административный кодекс Российской Федерации.pdf:page_493"
Кто должен подписывать диагностическую карту крана согласно ТИПОВЫМ НОРМАМ?,нет в документах,"Data1_10_10852_index.pdf:page_21, Data1_10_10855_index.pdf:page_1, Data1_10_10855_index.pdf:page_2, Data1_10_10855_index.pdf:page_3, Административный кодекс Российской Федерации.pdf:page_247"
